task_id,truncated_by,pless_norm_think_t1.0_t1.0_p@1,pless_norm_think_t1.0_t1.0_p@3,pless_norm_think_t1.0_t1.0_p@5,pless_norm_think_t1.0_t1.0_p@10,pless_think_t1.0_t1.0_p@1,pless_think_t1.0_t1.0_p@3,pless_think_t1.0_t1.0_p@5,pless_think_t1.0_t1.0_p@10,temp_k20_think_t1.0_t1.0_p@1,temp_k20_think_t1.0_t1.0_p@3,temp_k20_think_t1.0_t1.0_p@5,temp_k20_think_t1.0_t1.0_p@10,temp_p0.95_k20_think_t0.6_t0.6_p@1,temp_p0.95_k20_think_t0.6_t0.6_p@3,temp_p0.95_k20_think_t0.6_t0.6_p@5,temp_p0.95_k20_think_t0.6_t0.6_p@10,temp_p0.95_think_t1.0_t1.0_p@1,temp_p0.95_think_t1.0_t1.0_p@3,temp_p0.95_think_t1.0_t1.0_p@5,temp_p0.95_think_t1.0_t1.0_p@10,temp_think_t0.6_t0.6_p@1,temp_think_t0.6_t0.6_p@3,temp_think_t0.6_t0.6_p@5,temp_think_t0.6_t0.6_p@10
588,norm_only,20.0,53.3,77.8,100.0,10.0,30.0,50.0,100.0,50.0,91.7,99.6,100.0,40.0,83.3,97.6,100.0,70.0,99.2,100.0,100.0,40.0,83.3,97.6,100.0
616,both,70.0,99.2,100.0,100.0,60.0,96.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
661,both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711,both,60.0,96.7,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
739,pless_only,70.0,99.2,100.0,100.0,70.0,99.2,100.0,100.0,80.0,100.0,100.0,100.0,70.0,99.2,100.0,100.0,80.0,100.0,100.0,100.0,50.0,91.7,99.6,100.0
793,both,70.0,99.2,100.0,100.0,50.0,91.7,99.6,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0
827,norm_only,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0
927,both,60.0,96.7,100.0,100.0,90.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,70.0,99.2,100.0,100.0
930,both,70.0,99.2,100.0,100.0,60.0,96.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
962,both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
990,both,40.0,83.3,97.6,100.0,40.0,83.3,97.6,100.0,90.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0
991,norm_only,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1037,both,30.0,70.8,91.7,100.0,70.0,99.2,100.0,100.0,20.0,53.3,77.8,100.0,70.0,99.2,100.0,100.0,20.0,53.3,77.8,100.0,70.0,99.2,100.0,100.0
1085,both,70.0,99.2,100.0,100.0,50.0,91.7,99.6,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1086,pless_only,10.0,30.0,50.0,100.0,10.0,30.0,50.0,100.0,20.0,53.3,77.8,100.0,10.0,30.0,50.0,100.0,20.0,53.3,77.8,100.0,20.0,53.3,77.8,100.0
1087,pless_only,90.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0
1090,pless_only,90.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0
1122,both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1125,pless_only,40.0,83.3,97.6,100.0,50.0,91.7,99.6,100.0,80.0,100.0,100.0,100.0,60.0,96.7,100.0,100.0,50.0,91.7,99.6,100.0,50.0,91.7,99.6,100.0
1126,pless_only,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0
1171,pless_only,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1175,both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1178,both,10.0,30.0,50.0,100.0,20.0,53.3,77.8,100.0,10.0,30.0,50.0,100.0,30.0,70.8,91.7,100.0,20.0,53.3,77.8,100.0,0.0,0.0,0.0,0.0
1223,both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1224,both,20.0,53.3,77.8,100.0,10.0,30.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1226,pless_only,100.0,100.0,100.0,100.0,50.0,91.7,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1273,norm_only,0.0,0.0,0.0,0.0,30.0,70.8,91.7,100.0,10.0,30.0,50.0,100.0,20.0,53.3,77.8,100.0,20.0,53.3,77.8,100.0,30.0,70.8,91.7,100.0
1274,norm_only,60.0,96.7,100.0,100.0,60.0,96.7,100.0,100.0,60.0,96.7,100.0,100.0,70.0,99.2,100.0,100.0,70.0,99.2,100.0,100.0,80.0,100.0,100.0,100.0
1277,pless_only,70.0,99.2,100.0,100.0,40.0,83.3,97.6,100.0,60.0,96.7,100.0,100.0,60.0,96.7,100.0,100.0,70.0,99.2,100.0,100.0,50.0,91.7,99.6,100.0
1328,both,90.0,100.0,100.0,100.0,60.0,96.7,100.0,100.0,90.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1329,pless_only,70.0,99.2,100.0,100.0,60.0,96.7,100.0,100.0,60.0,96.7,100.0,100.0,90.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0
1368,pless_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1369,both,90.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1370,norm_only,10.0,30.0,50.0,100.0,20.0,53.3,77.8,100.0,20.0,53.3,77.8,100.0,10.0,30.0,50.0,100.0,20.0,53.3,77.8,100.0,20.0,53.3,77.8,100.0
1373,both,30.0,70.8,91.7,100.0,60.0,96.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1374,both,60.0,96.7,100.0,100.0,20.0,53.3,77.8,100.0,60.0,96.7,100.0,100.0,50.0,91.7,99.6,100.0,80.0,100.0,100.0,100.0,70.0,99.2,100.0,100.0
1426,both,80.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1428,norm_only,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
